Recording Name, Date Started, User
Src2_PbI2_Master_v201111,2024-5-8 9-46-37,Admin

Time Stamp,PC Wide Range Gauge,Power Supply 1 Output,Power Supply 2 Output,Power Supply 3 Output,Power Supply 4 Output,Source 1 Accumulate Thickness,Source 1 Freq,Source 1 Rate,Source 1 Temperature,Source 1 Temperature Setpoint,Source 2 Accumulate Thickness,Source 2 Freq,Source 2 Rate,Source 2 Temperature,Source 2 Temperature Setpoint,Source 3 Accumulate Thickness,Source 3 Freq,Source 3 Rate,Source 3 Temperature,Source 3 Temperature Setpoint,Source 4 Accumulate Thickness,Source 4 Freq,Source 4 Rate,Source 4 Temperature,Source 4 Temperature Setpoint,Source 1 Thickness,Source 2 Thickness,Source 3 Thickness,Source 4 Thickness
May-08-2024 09:46:52.835 AM,6.2856764982E-7,0,0,0,0,0,5932070.2306916202,0.0208117997,26.9211864471,140,0,5985724.1971448399,-0.0002117908,26.3379020691,250,0,5975025.4979187911,0.0244838902,26.0536251068,350,0,5913199.0840864982,-0.0009517258,26.5678043365,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:46:53.834 AM,6.2812610802E-7,0,0,0,0,0,5932071.0216344539,-0.0226438602,26.9643592834,140,0,5985724.2303988701,-0.0004980717,26.3458099365,250,0,5975025.9958376661,-0.0131394484,26.0507907867,350,0,5913199.6570221838,-2.2437582692E-5,26.5976238251,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:46:54.833 AM,6.3078001892E-7,0,50,0,0,0,5932070.4943392081,0.008266348,26.9467926025,140,0,5985724.2303988701,-0.0003878987,26.348526001,250,0,5975026.0290322611,-0.0123801808,26.065694809,350,0,5913199.6570221838,0.0011208553,26.6138477325,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:46:55.834 AM,6.3211117633E-7,0,50,0,0,0,5932071.0216344539,-0.0194635657,26.9604473114,140,0,5985724.2303988701,-0.0003020958,26.3341617584,250,0,5975026.0290322611,-0.0096416945,26.0337295532,350,0,5913199.6570221838,0.0013169356,26.6130104065,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:46:56.846 AM,6.2856764982E-7,0,50,0,0,0,5932071.0216344539,-0.0151582402,26.9466266632,140,0,5985724.1971448399,9.7856493225E-5,26.3280200958,250,0,5975025.9958376661,-0.0053617911,26.0843505859,350,0,5913199.6570221838,0.0002789549,26.613035202,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:46:57.845 AM,6.3211117633E-7,0,50,0,0,0,5932070.3295594631,0.0221903434,26.9466266632,140,0,5985724.1971448399,7.6210713552E-5,26.3280200958,250,0,5975025.4979187911,0.0280317542,26.0843505859,350,0,5913198.7884265054,-0.0012589699,26.613035202,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:46:58.843 AM,6.3791206306E-7,0,50,0,0,0,5932071.0545904096,-0.0183325737,26.9222984314,140,0,5985723.6650804067,0.0053894157,26.3773326874,250,0,5975026.0622268561,-0.0146707054,26.0195598602,350,0,5913198.9198309435,-0.0021099316,26.6218738556,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:46:59.844 AM,6.3925827147E-7,0,50,0,0,0,5932071.0545904096,-0.0142774227,26.9449939728,140,0,5985723.7315884558,0.0035310233,26.3806686401,250,0,5975026.0622268561,-0.0114255569,26.0184326172,350,0,5913199.0512353871,-0.0014955575,26.6143417358,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:47:00.858 AM,6.4195921715E-7,0,50,0,0,0,5932070.2966035148,0.0261140003,26.9449939728,140,0,5985724.2303988701,-0.0022469701,26.3806686401,250,0,5975026.0622268561,-0.0088982326,26.0184326172,350,0,5913199.6570221838,0.0002443616,26.6143417358,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:47:01.858 AM,6.3746395721E-7,0,50,0,0,0,5932071.0545904096,-0.0168956644,26.9392204285,140,0,5985724.2636529002,-0.002083071,26.3951911926,250,0,5975026.0290322611,-0.0047827825,26.0411586761,350,0,5913199.6570221838,0.0018135024,26.6533641815,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:47:02.858 AM,6.3791206306E-7,0,50,0,0,0,5932071.1205023229,-0.0163960322,26.9539165497,140,0,5985724.2636529002,-0.0016222973,26.4082641602,250,0,5975026.0954214502,-0.0080191708,26.0511760712,350,0,5913199.6570221838,0.0020249025,26.6313209534,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:47:03.871 AM,6.383604839E-7,0,50,0,0,0,5932070.3295594631,0.0260828633,26.9353752136,140,0,5985724.2660321901,-0.0012872814,26.4113426208,250,0,5975025.6140998546,0.0248886007,26.0713977814,350,0,5913199.6570221838,0.0007422786,26.6419487,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:47:04.870 AM,6.3880921997E-7,0,50,0,0,0,5932071.1205023229,-0.0185387517,26.9233188629,140,0,5985724.2992862156,-0.0013356646,26.3904056549,250,0,5975025.4979187911,0.02689835,26.0631427765,350,0,5913198.7227242887,-0.0010929204,26.6352539063,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:47:05.870 AM,6.3880921997E-7,0,50,0,0,0,5932070.7415088424,0.0041786399,26.9394073486,140,0,5985724.2969069313,-0.0010163817,26.4086418152,250,0,5975026.1286160462,-0.0198477376,26.0354690552,350,0,5913198.8869798332,-0.0021271487,26.6474399567,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:47:06.871 AM,6.4015732169E-7,0,50,0,0,0,5932070.5272951582,0.0137767734,26.9827728271,140,0,5985724.3301609624,-0.0011246878,26.435628891,250,0,5975026.1618106421,-0.0176046016,26.0240859985,350,0,5913199.0512353871,-0.0015230261,26.6247768402,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:47:07.884 AM,6.4421872055E-7,0,50,0,0,0,5932070.2636475675,0.0236800639,26.9742736816,140,0,5985723.7315884558,0.0051204128,26.4620018005,250,0,5975026.1618106421,-0.0137104775,26.0015029907,350,0,5913199.6898732968,0.0003104262,26.6301136017,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:47:08.884 AM,6.4150826835E-7,0,50,0,0,0,5932071.1864142371,-0.0268854047,26.9673023224,140,0,5985724.3634149935,-0.0023416679,26.5034503937,250,0,5975026.1618106421,-0.0106777306,26.0281734467,350,0,5913199.6898732968,0.0019439399,26.6241264343,160,0.0807466369,0,0.2305358269,0
May-08-2024 09:47:09.884 AM,6.4785047939E-7,0,50,0,0,0,5932071.1864142371,-0.0209383743,26.9854602814,140,0,5985724.3657942666,-0.0018475277,26.6100540161,250,0,5975026.1618106421,-0.008315825,26.0015182495,350,0,5913199.6570221838,0.0021085569,26.6481132507,160,0.0807466369,0,0.2305358269,0
